prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13
110000,1954,5.7318273,0,-1.6692139,5.7862835,5.5510197,1,0,0,0,0,0,0,0,0,0,0,0
110000,1955,5.5355372,0,-1.5065823,5.7930136,5.5876231,0,1,0,0,0,0,0,0,0,0,0,0
110000,1956,5.7917933,0,2.3604791,5.9914646,5.7014465,0,0,1,0,0,0,0,0,0,0,0,0
110000,1957,6.0014148,0,2.2491002,6.2146082,5.7698822,0,0,0,1,0,0,0,0,0,0,0,0
110000,1958,6.4558287,4.3991132,0,6.4904199,5.8585043,0,0,0,0,1,0,0,0,0,0,0,0
110000,1959,6.4696903,4.3761621,0,6.5596151,6.0097957,0,0,0,0,0,1,0,0,0,0,0,0
110000,1960,6.6830707,4.3752151,0,6.6061096,6.1216154,0,0,0,0,0,0,1,0,0,0,0,0
110000,1961,6.4606996,0,4.4247828,6.591948,6.0725837,0,0,0,0,0,0,0,1,0,0,0,0
110000,1962,6.3865666,0,4.4942131,6.5960536,6.0416822,0,0,0,0,0,0,0,0,1,0,0,0
110000,1963,6.4432364,0,4.5413876,6.6331868,6.0709686,0,0,0,0,0,0,0,0,0,1,0,0
110000,1964,6.2614965,0,4.5740423,6.6545391,6.0926666,0,0,0,0,0,0,0,0,0,0,1,0
110000,1965,6.3453913,0,4.5964761,6.6683555,6.1043468,0,0,0,0,0,0,0,0,0,0,0,1
120000,1953,6.0591383,0,4.5601754,6.1360192,5.4931026,0,0,0,0,0,0,0,0,0,0,0,0
120000,1954,6.1552711,0,4.5545859,6.1703844,5.5631018,1,0,0,0,0,0,0,0,0,0,0,0
120000,1955,6.0599508,0,4.5952778,6.188921,5.5560169,0,1,0,0,0,0,0,0,0,0,0,0
120000,1956,6.1611247,0,4.6123509,6.2283335,5.6121421,0,0,1,0,0,0,0,0,0,0,0,0
120000,1957,6.128346,0,4.6203966,6.2722163,5.6844978,0,0,0,1,0,0,0,0,0,0,0,0
120000,1958,6.2947316,4.6287117,0,6.3068042,5.7385702,0,0,0,0,1,0,0,0,0,0,0,0
120000,1959,6.374711,4.6319137,0,6.3412762,5.7959056,0,0,0,0,0,1,0,0,0,0,0,0
120000,1960,6.3580351,4.6448479,0,6.3690958,5.8328791,0,0,0,0,0,0,1,0,0,0,0,0
120000,1961,6.0637698,0,4.6625881,6.3702946,5.8201127,0,0,0,0,0,0,0,1,0,0,0,0
120000,1962,6.0749087,0,4.7149377,6.3896198,5.8085027,0,0,0,0,0,0,0,0,1,0,0,0
120000,1963,6.1724143,0,4.7482629,6.4221587,5.8369431,0,0,0,0,0,0,0,0,0,1,0,0
120000,1964,5.9620714,0,4.7717433,6.4449577,5.856904,0,0,0,0,0,0,0,0,0,0,1,0
120000,1965,6.0884094,0,4.7961817,6.4580245,5.8584757,0,0,0,0,0,0,0,0,0,0,0,1
130000,1953,8.3052444,0,6.7823224,8.114624,5.602119,0,0,0,0,0,0,0,0,0,0,0,0
130000,1954,8.2925186,0,6.869503,8.1440983,5.6970935,1,0,0,0,0,0,0,0,0,0,0,0
130000,1955,8.290987,0,6.8079176,8.1687698,5.7300997,0,1,0,0,0,0,0,0,0,0,0,0
